Processing second 1 of  .....
Processing second 1 of 30 .....
Processing second 2 of 30 .....
Processing second 3 of 30 .....
Processing second 4 of 30 .....
Processing second 5 of 30 .....
Processing second 6 of 30 .....
Processing second 7 of 30 .....
Processing second 8 of 30 .....
Processing second 9 of 30 .....
Processing second 10 of 30 .....
Processing second 11 of 30 .....
Processing second 12 of 30 .....
Processing second 13 of 30 .....
Processing second 14 of 30 .....
Processing second 15 of 30 .....
Processing second 16 of 30 .....
Processing second 17 of 30 .....
Processing second 18 of 30 .....
Processing second 19 of 30 .....
Processing second 20 of 30 .....
Processing second 21 of 30 .....
Processing second 22 of 30 .....
Processing second 23 of 30 .....
Processing second 24 of 30 .....
Processing second 25 of 30 .....
Processing second 26 of 30 .....
Processing second 27 of 30 .....
Processing second 28 of 30 .....
Processing second 29 of 30 .....
Processing second 1 of 30 .....
Processing second 2 of 30 .....
Processing second 3 of 30 .....
Processing second 4 of 30 .....
Processing second 5 of 30 .....
Processing second 6 of 30 .....
Processing second 7 of 30 .....
Processing second 8 of 30 .....
Processing second 9 of 30 .....
Processing second 10 of 30 .....
